name,image_url
Eileen Ho,http://res.cloudinary.com/davidhu2000/image/upload/v1484782074/eileen_ho/eileen_ho_artist_picture.jpg
The Long Ryders,https://freemusicarchive.org/file/images/albums/The_Long_Ryders_-_Live_at_Monty_Hall_1192016_-_20170113183717933.jpg?width=290&height=290
Circus Marcus,https://freemusicarchive.org/file/images/artists/Circus_Marcus_-_20130705151555292.JPG?width=290&height=290
Nheap,https://freemusicarchive.org/file/images/artists/Nheap_-_20170105132054086.jpg?width=290&height=290
The Carmines,https://freemusicarchive.org/file/images/artists/The_Carmines_-_20170118234346537.jpg?width=290&height=290
Jasmine Jordan,https://freemusicarchive.org/file/images/artists/Jasmine_Jordan_-_20161214160708171.jpg?width=290&height=290
Aglow Hollow,https://freemusicarchive.org/file/images/artists/Aglow_Hollow_-_2016121513419479.jpg?width=290&height=290
Jan Morgenson,https://freemusicarchive.org/file/images/artists/Jan_Mrgenson_-_2016123142905289.jpg?width=290&height=290
simon_mathewson,https://freemusicarchive.org/file/images/artists/simon_mathewson_-_2016100492826924.jpg?width=290&height=290
Axletree,https://freemusicarchive.org/file/images/artists/Axletree_-_20161129151001636.png?width=290&height=290
Pipe Choir,https://freemusicarchive.org/file/images/artists/Pipe_Choir_-_20150222174410620.jpg?width=290&height=290
Tri-Tachyon,https://freemusicarchive.org/file/images/artists/Tri-Tachyon_-_20151120143859740.png?width=290&height=290
She-Wolf,https://freemusicarchive.org/file/images/artists/She-Wolf_-_20150211170810735.jpg?width=290&height=290
Lonely Punk,https://freemusicarchive.org/file/images/artists/Lonely_Punk_-_20161021164543917.jpg?width=290&height=290
Sahara Sky,https://freemusicarchive.org/file/images/artists/Sahara_Sky_-_20161013180559140.png?width=290&height=290
