id,title,album_id,order,song_url
1,Bruno Mars - Just the way your are,1,1,https://res.cloudinary.com/davidhu2000/video/upload/v1484782025/eileen_ho/cover_album/Bruno_Mars_-_Just_the_Way_You_Are_cover_by_-eileen.mp3
2,Eagle Eye Cherry - Save Tonight,1,2,https://res.cloudinary.com/davidhu2000/video/upload/v1484782025/eileen_ho/cover_album/Eagle_Eye_Cherry_-_Save_Tonight_cover_by_-eileen.mp3
3,Meghan Trainor - Credit,1,3,https://res.cloudinary.com/davidhu2000/video/upload/v1484781985/eileen_ho/cover_album/Meghan_Trainor_-_Credit_cover_by_-eileen.mp3
4,Pixie Lott - Mama Do,1,4,https://res.cloudinary.com/davidhu2000/video/upload/v1484782066/eileen_ho/cover_album/Pixie_Lott_-_Mama_Do_cover_by_-eileen.mp3
5,Shawn Mendes - Stitches,1,5,https://res.cloudinary.com/davidhu2000/video/upload/v1484782067/eileen_ho/cover_album/Shawn_Mendes_-_Stitches_cover_by_-eileen.mp3
6,Third Eye Blind - Jumper,1,6,https://res.cloudinary.com/davidhu2000/video/upload/v1484782008/eileen_ho/cover_album/Third_Eye_Blind_-_Jumper_cover_by_-eileen.mp3
7,First open mic night,2,1,https://res.cloudinary.com/davidhu2000/video/upload/v1484781234/eileen_ho/live_album/Eileen_s_first_open_mic.mp3
8,Live at Whiskey RRFC Aerosmith Cryin,2,2,https://res.cloudinary.com/davidhu2000/video/upload/v1484782500/eileen_ho/live_album/RRFC_Aerosmith_-_Cryin.mp3
9,Show at Whiskey Go Go,2,3,https://res.cloudinary.com/davidhu2000/video/upload/v1484782718/eileen_ho/live_album/RRFC_Show_at_Whiskey_a_Go_Go.mp3
10,Tell It To The Judge On Sunday/Lights Of Downtown,3,1,https://res.cloudinary.com/davidhu2000/video/upload/v1484893713/The%20Long%20Ryders/The_Long_Ryders_-_01_-_Tell_It_To_The_Judge_On_SundayLights_Of_Downtown.mp3
11,A Stitch In Time,3,2,https://res.cloudinary.com/davidhu2000/video/upload/v1484424709/The%20Long%20Ryders/The_Long_Ryders_-_02_-_A_Stitch_In_Time_qbfric.mp3
12,Gunslinger,3,3,https://res.cloudinary.com/davidhu2000/video/upload/v1484424550/The%20Long%20Ryders/The_Long_Ryders_-_03_-_Gunslinger_stksdp.mp3
13,I Don't Care What's Right,3,4,https://res.cloudinary.com/davidhu2000/video/upload/v1484424664/The%20Long%20Ryders/The_Long_Ryders_-_04_-_I_Dont_Care_Whats_Right_I_Dont_Care_Whats_Wrong_rsaheh.mp3
14,Wreck of the 809,3,5,https://res.cloudinary.com/davidhu2000/video/upload/v1484424609/The%20Long%20Ryders/The_Long_Ryders_-_05_-_Wreck_of_the_809_uosn4m.mp3
15,Run Dusty Run,3,6,https://res.cloudinary.com/davidhu2000/video/upload/v1484424451/The%20Long%20Ryders/The_Long_Ryders_-_06_-_Run_Dusty_Run_yfkfae.mp3
16,Ivory Tower,3,7,https://res.cloudinary.com/davidhu2000/video/upload/v1484425020/The%20Long%20Ryders/The_Long_Ryders_-_07_-_Ivory_Tower_zlwkve.mp3
17,Two Kinds of Love,3,8,https://res.cloudinary.com/davidhu2000/video/upload/v1484425058/The%20Long%20Ryders/The_Long_Ryders_-_08_-_Two_Kinds_of_Love_vx20zx.mp3
18, I Want You Bad,3,9,https://res.cloudinary.com/davidhu2000/video/upload/v1484424908/The%20Long%20Ryders/The_Long_Ryders_-_09_-_I_Want_You_Bad_getcy1.mp3
